,,Star_name,Distance,Mass,Radius,Proper name
SDSS J000013.54+255418.6[de],Pegasus,0h0m13.54s,25° 54′ 18″,,46.1,T4.5
2MASS J00040288-6410358,Tucana,0h4m2.88s,−64° 10′ 35.8″,,192,L1γ
LHS 102BC,Phoenix,0h4m34.84s,−40° 44′ 5.8″,,,L5
2MASS J00242463-0158201,Pisces,0h24m24.63s,−1° 58′ 20.1″,,37.7,M9.5
2MASS J00250365+4759191AB,Cassiopeia,0h25m3.65s,47° 59′ 19.1″,,143,L4
2MASS J00274197+0503417,Pisces,0h27m41.97s,5° 3′ 41.7″,,236,M9.5β
2MASS J00275592+2219328,Andromeda,0h27m55.92s,22° 19′ 32.8″,,46.9,M8
2MASSW J0030300-145033,Cetus,0h30m30.13s,−14° 50′ 33.3″,,87.2,L7
2MASS J00332386-1521309[de],Cetus,0h33m23.86s,−15° 21′ ″,,131,L1-L4β
2MASS J00345157+0523050,Pisces,0h34m51.57s,5° 23′ 5″,,31,T6.5
2MASS 0036+1821,Pisces,0h36m16.17s,18° 21′ 10.4″,12.47,28.6,L3.5
2MASSW J0045214+163445,Pisces,0h45m21.43s,16° 34′ 44.6″,,57,L2β
WISEP J004701.06+680352.1[fr],Cassiopeia,0h47m0.38s,68° 3′ 54.3″,,40,L7.5p
2MASS J00501994-3322402[de],Sculptor,0h50m19.94s,−33° 22′ 40.2″,,34,T7
2MASS J00034227-2822410,Sculptor,0h55m39.72s,−28° 22′ 42″,,,M7.5
2MASS J00584253-0651239[de],Cetus,0h58m42.53s,−6° 51′ 23.9″,,96,L0β
CFBDS J005910.90–011401.3,Cetus,0h59m10.83s,−1° 14′ 1.3″,18.08,30,T8.5
2MASSI J0103320+193536,Pisces,1h3m32.03s,19° ′ 35″,,70,L6β
SDSSp J010752.33+004156.1[de],Cetus,1h7m52.42s,−0° 41′ 56.3″,,51,L8
2MASSI J0117474-340325[de],Sculptor,1h17m47.48s,−34° 3′ 25.8″,,163,L2:
2MASS J01415823-4633574[de],Phoenix,1h41m58.23s,−46° 33′ 57.4″,,130,L0γ
SDSS J015141.69+124429.6,,1h51m41.55s,12° 44′ 30″,,70,T1
DENIS-P J020529.0−115925A,Cetus,2h5m29.401s,−11° 59′ 29.67″,,65,L5.5
DENIS-P J020529.0−115925B,Cetus,2h5m29.401s,−11° 59′ 29.67″,,65,L8
DENIS-P J020529.0−115925C,Cetus,2h5m29.401s,−11° 59′ 29.67″,,65,T0
SDSS J020742.48+000056.2[de],Cetus,2h7m42.84s,−0° 0′ 56.4″,,111,T4.5
2MASS J02103857-3015313,,2h10m38.57s,−30° 15′ 31.3″,,101,L0γ
2MASS J02340093-6442068,,2h34m0.93s,−64° 42′ 6.8″,,155,L0γ
2MASS J02411151-0326587[de],Cetus,2h41m11.51s,−3° 26′ 58.7″,,152,L0γ
2MASS J02431371−2453298,Fornax,2h43m13.71s,−24° 53′ 29.8″,,35,T6
LP 771-21,,2h48m41s,−16° 51′ 21.6″,,53,M8
2MASS J02511327+0047364,,2h51m13.27s,−0° 47′ 36.4″,,,M8
2MASS J02535980+3206373,,2h53m59.8s,32° 6′ 37.3″,,184,M7β
WISE J0254+0223,Cetus,2h54m9.45s,2° 23′ 59.1″,16.01,24,T8
DEN 0255-4700,Eridanus,2h55m3.57s,−47° 0′ 50.9″,22.92,16.2,L8
2MASS J03185403-3421292[de],Fornax,3h18m54.03s,−34° 21′ 29.2″,,45,L7
2MASS J03205965+1854233,,3h20m59.65s,18° 54′ 23.3″,,47,M8
2MASS J03231002-4631237,,3h23m10.02s,−46° 31′ 23.7″,,192,L0γ
SDSS J032553.17+042540.1,,3h25m53.22s,4° 25′ 40.6″,,59,T5.5
2MASS J03264225-2102057[de],Eridanus,3h26m42.25s,−21° 2′ 5.7″,,80,L5γ
2MASS J03284265+2302051[de],Taurus,3h28m42.65s,23° 2′ 5.1″,,98,L8
2MASS J03341218-4953322,,3h34m12.18s,−49° 53′ 32.2″,,27.0,M9
LP 944-20,Fornax,3h39m35.22s,−35° 25′ 44″,10.725,20.9,M9β
2MASP J0345432+254023,,3h45m43.16s,25° 40′ 23.3″,,88,L0
Teide 1,Taurus,3h47m18s,+24° 22′ 31″,,380,M8
2MASS J03510004-0052452,,3h51m0.04s,−0° 52′ 45.2″,,48,M8
2MASS J03552337+1133437,Taurus,3h55m23.37s,11° 33′ 43.7″,14.05,29.8,L5γ
DENIS-P J035726.9-441730[de],Horologium,3h57m26.95s,−44° 17′ 30.5″,14.37,130,L0β
2MASS J04151954−0935066,Eridanus,4h15m19.54s,−9° 35′ 6.6″,15.7,18.6,T8
SDSSp J042348.57-041403.5[de],Eridanus,4h23m48.58s,−4° 14′ 3.5″,14.5,50,L7.5
2MASS J04285096-2253227[de],Eridanus,4h28m50.96s,−22° 53′ 22.7″,,85,L0.5
2MASS J04351612-1606574,,4h35m16.13s,−16° 6′ 57.5″,,34,M7
2MASS J04362788-4114465,,4h36m27.88s,−41° 14′ 46.5″,,142,M8βγ
2MASS J04390101-2353083[de],Eridanus,4h39m1.01s,−23° 53′ 8.3″,,29.5,L6.5
2MASS J04414489+2301513,,4h41m44.9s,23° 1′ 58.07″,,470,M8.5
2MASS J04433764+0002040,,4h43m37.61s,−0° 2′ 5.1″,,82,M9γ
2MASS J04455387-3048204[de],Caelum,4h45m53.87s,−30° 48′ 20.4″,,42,L2
